pbindaff,nha,mwt,PDB
6.40,33,472.538,10gs
5.62,41,602.582,1a08
6.40,39,568.572,1a1b
4.30,26,373.364,1a30
5.30,19,268.236,1a69
3.72,13,180.138,1ai5
2.23,12,167.136,1ajp
4.31,9,141.17,1ajq
8.00,35,506.632,1apw
3.90,8,112.16,1avn
6.92,31,503.156,1b39
8.02,27,389.542,1b7h
10.64,19,267.27,1b8o
5.96,27,389.542,1b9j
3.28,16,209.248,1bcu
4.59,37,521.598,1bma
1.82,9,121.162,1bra
10.00,44,637.678,1bxo
7.57,16,251.088,1d09
3.30,6,88.104,1d7j
4.30,24,361.216,1det
9.70,16,243.31,1df8
7.26,33,452.44,1dhi
4.92,18,247.306,1e1v
7.64,10,330.784,1e5a
9.89,21,298.802,1e66
6.36,32,457.516,1ela
7.15,33,473.558,1elb
2.96,18,268.312,1f4e
4.62,29,425.396,1f4f
6.48,34,496.476,1f4g
3.74,9,121.162,1f5k
7.19,29,387.476,1fcx
9.22,27,361.44,1fcz
8.40,30,400.478,1fd0
5.24,18,266.27,1fh7
6.89,17,250.27,1fh8
6.43,20,295.272,1fh9
9.70,65,914.152,1fkb
7.00,31,437.562,1fki
8.80,63,890.986,1fkn
10.00,25,331.288,1flr
7.61,13,186.17,1ftm
8.10,68,956.096,1fzj
8.40,68,949.072,1fzk
5.47,39,540.54,1g7f
6.06,57,813.88,1g7q
8.07,20,281.444,1gni
5.37,18,243.322,1gpk
8.35,36,496.724,1h23
5.54,23,308.318,1ha2
8.70,52,704.836,1hfs
4.49,27,423.178,1hi4
5.31,24,776.848,1hk4
10.52,26,371.458,1if7
7.00,47,681.562,1is0
3.84,9,121.162,1j16
5.22,34,499.026,1j17
4.48,21,302.336,1jaq
8.45,47,657.782,1jq9
5.16,26,384.43,1jqd
3.52,10,135.14,1jys
5.85,20,288.346,1k4g
6.52,20,282.288,1k9s
5.94,21,306.792,1kv1
4.22,9,153.006,1kv5
4.59,19,316.766,1l2s
6.39,24,362.198,1lol
3.70,21,322.168,1loq
