pbindaff,nha,mwt,PDB
9.00,55,717.542,1gvu
10.00,44,595.342,1bxo
6.96,46,616.39,1gvw
7.22,65,863.65,1gvx
10.39,41,542.452,1kzk
7.25,24,325.288,1jet
6.82,28,381.308,1jeu
8.77,8,106.112,1qft
6.89,33,436.386,1jev
8.52,29,360.26,1fcy
9.37,31,441.228,1flm
4.07,11,171.02,1hyo
4.92,32,435.26,1jr0
5.32,32,511.118,5p21
2.48,9,116.07,1gyx
3.64,13,176.098,1gyy
6.00,12,172.212,1c5s
7.63,22,282.268,1c1r
4.10,12,174.212,1c5t
7.19,19,246.228,1gi4
3.80,31,412.298,1kug
9.22,27,336.24,1fcz
8.40,30,375.278,1fd0
5.44,19,246.228,1gi2
4.80,19,248.228,1ghz
3.89,12,157.098,2ctc
6.55,20,248.18,1hmr
6.37,20,248.18,1hms
5.79,20,248.18,1hmt
5.54,28,378.352,2olb
3.40,20,279.186,1f8d
4.82,20,279.212,1f8e
7.38,43,584.34,1bxq
4.68,9,116.122,1c5p
6.36,13,299.112,1c5q
5.63,60,818.672,1vwl
3.91,32,421.326,1kuk
7.19,29,361.268,1fcx
6.00,16,230.232,2izl
4.00,12,173.1,8abp
5.77,19,244.228,1gi6
6.70,25,387.068,2sns
10.64,19,259.206,1b8o
4.70,13,299.112,1c5n
5.30,32,448.19,1hn4
6.49,26,351.738,1gj6
8.05,26,351.738,1gj7
5.20,23,314.26,1kll
3.77,32,424.308,1kui
3.70,21,314.104,1loq
9.70,16,230.206,1df8
2.06,9,141.154,1qq9
5.42,19,248.218,1gja
3.46,16,251.088,1moq
9.09,31,439.212,1akr
3.28,23,328.184,1gzc
7.05,31,439.212,1nox
5.89,13,198.074,2tmn
8.04,32,440.234,5tmn
5.05,32,441.216,6tmn
5.36,22,272.2,1adl
9.43,19,312.362,1cil
3.42,20,279.16,2sim
6.88,10,144.082,2dri
2.22,11,156.092,2aac
5.22,35,539.142,16pk
3.55,20,279.16,2qwc
9.28,28,407.736,830c
3.05,20,279.16,1f74
4.70,52,725.41,1jkx
6.06,57,773.56,1g7q
5.60,21,274.238,1gi5
2.54,6,80.04,1iup
3.84,9,116.122,1j16
11.06,22,331.112,1lor
