pbindaff,gauss1,gauss2,repulsion,hydrophobic,hydrogenbonding,nacttors,ninacttors,PDB
2.0700,89.1200,1011.2182,4.0398,20.1253,1.0738,1.0000,1.0000,3ao4
2.2300,77.2851,885.9867,7.2560,0.0000,7.5879,1.0000,4.0000,3i3b
2.2700,41.0500,572.6500,0.7622,6.2835,1.3651,2.0000,1.0000,1uto
2.2800,91.1199,979.8383,7.1719,0.0000,10.0943,1.0000,4.0000,1ps3
2.3500,65.0744,776.7975,5.8332,0.0000,8.8769,4.0000,8.0000,1qi0
2.3600,38.3091,582.1671,2.8476,12.3457,3.4712,2.0000,0.0000,3g2z
2.4000,38.4538,874.5959,1.5193,2.1972,2.1228,4.0000,2.0000,3dxg
2.4000,88.3900,1224.4084,2.8106,6.5260,4.9647,2.0000,4.0000,3l7b
2.5200,72.0302,934.3773,5.7905,1.4933,6.2298,4.0000,2.0000,3mfv
2.5500,30.9638,578.2145,3.0962,26.1958,3.0916,3.0000,1.0000,3b3s
2.5700,49.3099,691.0060,1.4653,3.7396,1.1653,2.0000,1.0000,3kgp
2.6200,69.6526,635.7812,10.4673,0.0000,11.2815,4.0000,0.0000,3fk1
2.7700,63.6428,824.6841,4.4454,16.4480,2.1053,3.0000,0.0000,3fcq
2.8200,55.7747,807.2994,1.8148,14.6271,1.5310,2.0000,1.0000,3lka
2.8500,57.7026,781.9296,2.8337,39.1537,3.4710,0.0000,0.0000,3udh
2.8900,50.5714,614.8162,2.7657,19.0820,3.2273,5.0000,2.0000,4gqq
2.9600,59.2175,783.5180,1.1461,15.2651,0.7549,1.0000,0.0000,3imc
3.1000,65.9321,1041.6355,1.1455,14.2258,1.1429,4.0000,1.0000,2xdl
3.1600,78.0583,907.4813,3.8389,28.2853,4.8267,2.0000,2.0000,2ymd
3.1800,90.6795,886.8848,5.5765,1.9411,7.6622,9.0000,2.0000,1lbk
3.2800,61.6900,865.7314,0.6354,11.1526,0.7476,0.0000,1.0000,1bcu
3.2800,92.6819,1384.9982,3.5938,32.7901,4.8637,10.0000,0.0000,3zsx
3.4000,76.0968,1062.3922,5.2274,8.7890,6.8703,5.0000,4.0000,1f8d
3.4600,48.8287,925.9975,3.7349,6.6866,5.5753,3.0000,4.0000,3muz
3.6600,70.3785,903.8392,2.9239,40.3691,3.3757,3.0000,1.0000,2v00
3.7000,78.1067,1158.3998,6.2919,5.3754,9.5914,4.0000,2.0000,1loq
3.7000,67.8261,861.7714,5.5002,7.3602,9.6903,1.0000,3.0000,3n7a
3.7200,64.4161,1299.2399,7.0463,1.8226,8.2347,11.0000,8.0000,2r23
3.7800,46.2484,681.9929,0.8041,80.9722,0.0000,8.0000,0.0000,3nq3
3.8000,68.7139,850.4099,3.1153,7.8871,4.0518,4.0000,0.0000,2hb1
4.0500,84.5288,1128.2031,7.0846,13.7067,7.8596,2.0000,4.0000,2w66
4.0800,63.8533,910.1447,2.6181,15.0106,4.1357,3.0000,0.0000,1n2v
4.0800,53.1471,854.2606,4.3620,16.3496,1.9193,11.0000,2.0000,3kwa
4.0900,81.5931,1306.8503,3.5109,17.4997,6.8205,3.0000,4.0000,3g2n
4.1200,86.8678,1207.2255,3.7327,20.5539,5.5440,5.0000,0.0000,4de2
4.1300,150.3864,1768.9039,7.5217,25.6787,9.8116,6.0000,4.0000,3ozt
4.1900,47.8512,609.9266,5.5061,12.4961,4.9912,3.0000,1.0000,3b3w
4.1900,43.2174,862.7260,1.2613,35.3311,1.7413,1.0000,1.0000,3cft
4.1900,88.4877,1065.4044,5.9862,43.7607,5.1463,3.0000,1.0000,3f3a
4.2100,99.3259,1698.4703,6.3080,12.2637,9.3624,9.0000,13.0000,2qmj
4.2200,65.2159,894.4370,5.2408,4.2443,5.0207,6.0000,1.0000,3f80
4.3000,85.6817,1306.8168,4.7111,20.4932,3.5947,12.0000,1.0000,1a30
4.3000,91.9015,1139.9530,7.3068,0.0000,11.9101,4.0000,6.0000,1w3k
4.3000,112.9983,1757.2329,4.7026,34.0427,0.9508,7.0000,0.0000,3ivg
4.3700,54.9219,644.1329,5.9556,0.0000,10.6658,2.0000,4.0000,2jdy
4.3800,53.7511,763.1714,2.3273,47.6824,1.4132,8.0000,0.0000,3u9q
4.4300,44.4699,765.2075,1.4663,51.1872,1.0000,3.0000,0.0000,3pxf
4.4500,124.9612,1261.3387,7.1825,26.6791,8.6894,7.0000,4.0000,2wbg
4.6000,116.9431,1844.8434,10.1050,0.0000,10.3666,8.0000,10.0000,1u33
4.6000,85.0471,1152.0448,3.7818,0.0000,3.9632,3.0000,2.0000,2x0y
4.6600,54.8527,859.0079,0.2213,57.5051,0.0000,6.0000,1.0000,3mss
4.7200,78.3798,913.3304,5.4969,20.9340,7.8132,7.0000,1.0000,1vso
4.7600,51.0047,1172.3870,2.4456,23.8943,1.9303,3.0000,1.0000,1q8t
4.7600,67.5821,1373.3713,1.4562,82.1737,1.0000,2.0000,1.0000,3acw
4.8000,61.8051,1054.4021,5.5486,3.4202,8.3076,11.0000,5.0000,3bpc
4.8200,57.6515,929.1102,3.3915,8.6759,5.7866,3.0000,4.0000,3vd4
4.8500,54.5364,817.7950,1.3642,41.9224,1.5747,1.0000,1.0000,3cj2
4.8600,75.4717,1278.4568,1.4254,45.0373,0.5021,4.0000,1.0000,2brb
4.8900,85.4393,935.4724,7.8414,15.1729,6.9326,3.0000,1.0000,1p1q
4.8900,94.0495,1288.3544,5.2794,31.1783,8.2127,3.0000,4.0000,2vo5
4.8900,85.4072,911.0768,8.2886,0.0000,9.2615,1.0000,4.0000,3d4z
4.9400,46.9526,752.0895,0.5872,34.2561,0.5591,6.0000,0.0000,2gss
5.0600,82.3146,1677.9214,2.3688,23.4190,2.5288,5.0000,1.0000,2yge
5.1000,59.4776,684.1196,2.2060,2.6349,4.4047,1.0000,2.0000,3gy4
5.1200,118.9606,1670.7059,3.0241,33.1027,4.2503,13.0000,0.0000,3zso
5.2000,93.0463,1253.3157,6.2497,25.2250,10.4821,12.0000,0.0000,3ov1
5.2200,62.0491,980.6900,4.9961,2.2860,5.2001,3.0000,2.0000,1w4o
5.2200,136.9454,1825.5031,6.0366,36.4657,4.4999,28.0000,4.0000,1zea
5.2200,63.5389,779.5029,4.8920,23.9349,6.8688,1.0000,3.0000,2zxd
5.2400,37.5648,765.8167,0.6417,76.1827,0.0000,10.0000,0.0000,3ueu
5.2600,72.6315,626.1882,7.5965,0.0000,10.6091,4.0000,0.0000,2qft
5.3700,73.4939,1214.8596,1.3872,47.0127,1.8244,0.0000,1.0000,1gpk
